Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,"Fish roes, dried, salted or in brine, nei",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,204,173,348,214,87,63,59,170,51,204,178,192,161,54,166,262,78,420,73,84,210,275,748,444
Canada,"Fish roes, dried, salted or in brine, nei",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Fish roes, dried, salted or in brine, nei",Reexports,USD 1000,28,115,-,7,-,12,6,24,13,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Canada,"Herring fillets, dried, salted or in brine",Exports,USD 1000,9116,8165,16503,14570,13338,11505,9488,8671,7966,6373,7487,8026,...,...,...,...,...,5570,4945,4036,4064,3957,2962,1887,1904,3077,1671,1178,1142,887,774,1960,2213,1624,2068,1774,234,135,123,140,183
Canada,"Herring fillets, dried, salted or in brine",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herring fillets, dried, salted or in brine",Reexports,USD 1000,152,2,24,2,-,23,32,29,25,24,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Canada,"Herring kippers, prepared or preserved",Exports,USD 1000,3011,3409,4112,4626,5354,5143,4191,4464,2494,...,...,...,...,...,...,...,...,7398,7255,6663,6215,6744,7024,4938,2284,3857,4845,5370,4207,4461,5406,6243,7755,7650,8604,7914,6603,6665,8088,6962,7544
Canada,"Herring kippers, prepared or preserved",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,42,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Canada,Herring meal,Exports,USD 1000,4533,4648,4996,3092,3991,3864,2343,2810,2932,2801,2074,4578,...,...,...,...,...,2457,1749,3243,4016,4232,4363,2995,4226,5279,5325,2913,3496,3409,3444,3529,2899,2749,3928,4604,4381,3419,2747,2634,2568
Canada,Herring meal,Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herring nei, fillets, frozen",Exports,USD 1000,10893,30498,43921,27173,30891,17904,9319,5063,2819,2495,1919,1939,...,...,...,...,...,7893,4436,4646,9849,5325,7268,5810,2504,8277,5499,3946,3754,3624,2544,4652,11520,5959,1790,6681,3504,2985,7350,6463,5061
Canada,"Herring nei, fillets, frozen",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,222,233,98,226,363
Canada,"Herring nei, fillets, frozen",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,Herring oil,Exports,USD 1000,1509,1361,1565,1465,2430,1581,846,1465,1356,1571,1106,1305,...,...,...,...,...,1852,1159,1601,2721,1936,2359,1018,1133,659,1069,1143,1457,795,2370,2266,3274,1216,798,1207,855,743,451,428,1176
Canada,Herring oil,Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herring roes, cured",Exports,USD 1000,58100,82653,101944,144890,32608,64095,63797,92326,83702,99589,101940,181575,...,...,...,...,...,117390,95933,114306,145410,69617,59876,61984,83527,63350,58157,59040,65487,68029,38517,37340,44880,46382,37339,18499,18740,26065,22487,12426,21066
Canada,"Herring roes, cured",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herring roes, cured",Reexports,USD 1000,89,35,...,...,...,1,...,...,...,308,...,1583,...,...,...,...,...,...,...,...,...,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,-
Canada,"Herring roes, frozen",Exports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7566,20157,24790,30131,18601,18881,12693,16632,20835,19496,28960,19594,27148,23658,18530,22124,31773,33998,35017,39537,27719,21099,18068,21814
Canada,"Herring roes, frozen",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herring roes, frozen",Reexports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31,-
Canada,"Herring, salted or in brine",Exports,USD 1000,5355,5982,8182,8905,9226,8234,5730,3191,2651,4472,6180,4102,8801,9242,7723,5098,2789,3549,3020,3250,2740,3538,4014,4419,3549,1891,1985,1737,1690,1934,2067,814,1113,740,384,411,691,524,863,335,431
Canada,"Herring, salted or in brine",Imports,USD 1000,367,295,317,126,115,352,94,438,385,431,368,451,99,60,22,33,130,42,56,58,84,61,133,218,327,327,618,614,968,1073,1490,526,801,734,796,613,592,915,732,594,468
Canada,"Herring, salted or in brine",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herring, salted or in brine",Reexports,USD 1000,41,32,114,86,125,32,60,31,14,4,7,5,...,...,...,...,1,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15
Canada,"Herrings nei, frozen",Exports,USD 1000,10656,16229,17721,19823,12752,22890,13460,10446,4467,6110,2621,6184,11357,6718,11298,10811,12112,9102,6031,4872,8303,5466,6640,5457,5384,9617,4730,6791,7498,8117,6492,4722,6406,3362,3426,6920,5797,6867,10893,11239,10877
Canada,"Herrings nei, frozen",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,4065,3164,2382,1775,3060,743,1114,2514,6180,6598,828,1407,1825,2248,1186,2689,3500,3922,1663,1840,4180,7901,5660,4263,5861,4812,6528,6099,3019
Canada,"Herrings nei, frozen",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herrings nei, frozen",Reexports,USD 1000,1,34,42,9,14,3,5,40,27,52,99,...,...,...,...,14,109,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,151
Canada,"Herrings nei, smoked",Exports,USD 1000,423,557,435,417,427,415,371,404,647,585,751,588,2449,2282,2182,2302,2056,174,311,55,28,29,59,54,62,25,32,28,28,31,105,27,91,63,57,24,84,169,228,302,168
Canada,"Herrings nei, smoked",Imports,USD 1000,367,295,317,126,115,352,94,438,385,431,368,451,99,60,22,33,130,42,56,58,84,61,133,218,327,327,618,614,968,1073,1490,526,801,734,796,613,592,915,732,594,468
Canada,"Herrings nei, smoked",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herrings nei, smoked",Reexports,USD 1000,41,32,114,86,125,32,60,31,14,4,7,5,...,...,...,...,1,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15
Canada,"Herrings prepared or preserved, not minced, nei",Imports,USD 1000,5355,5982,8182,8905,9226,8234,5730,3191,2651,4472,6180,4102,8801,9242,7723,5098,2789,3549,3020,3250,2740,3538,4014,4419,3549,1891,1985,1737,1690,1934,2067,814,1113,740,384,411,691,524,863,335,431
Canada,"Herrings prepared or preserved, not minced, nei",Reexports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Canada,"Herrings, dried, whether or not salted",Production,USD 1000,4070,6850,5176,1971,991,2728,8056,3683,3997,3949,2149,2479,3044,6649,4334,3785,3454,4124,2850,1613,1384,2927,3429,3380,3683,724,801,558,1141,1313,1041,2602,1212,900,2049,1320,771,905,368,868,692
Canada,"Herrings, fresh or chilled, nei",Exports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,3124,902,1139,1139,2541,1789,1908,2669,7197,2972,1606,2869,4156,5430,3626,2808,2844,839,1249,745,461,1320,1983,1837,2497,2878,4688,3159,883
Canada,"Herrings, fresh or chilled, nei",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herrings, fresh or chilled, nei",Reexports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,393,178,609,468,498,778,893,973,4056,4421,2611,720,817,1800,3413,2899,4763,3008,2381,3959,5281,2672,4280,3869,3999,2959,2258,4063,2478
Canada,"Herrings, not minced, in oil, prepared or preserved",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,59962,15978,44465,14028,28872,974,1526,406,354,1334,704,1200,1569,1038,1105,3373,4444,3999,4691,4659,2851,1868,1673,1457,1742,1470,1652,766,1115
Canada,"Herrings, not minced, pickled, incl. fillets, prep. or pres.",Exports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,232,3,1,7,...,...,...,...,...,14,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,271
Canada,"Herrings, not minced, pickled, incl. fillets, prep. or pres.",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,4065,3164,2382,1775,3060,743,1114,2514,6180,6598,828,1407,1825,2248,1186,2689,3500,3922,1663,1840,4180,7901,5660,4263,5861,4812,6528,6099,3019
Canada,"Herrings, not minced, prep. or pres. in airtight containers, nei",Exports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herrings, not minced, prep. or pres. in airtight containers, nei",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Herrings, not minced, prep. or pres., not in airtight containers",Exports,USD 1000,1,34,42,9,14,3,5,40,27,52,99,...,...,...,...,14,109,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,151
Canada,"Herrings, not minced, smoked, in oil or in tomato sauce, prep. or pres.",Exports,USD 1000,10656,16229,17721,19823,12752,22890,13460,10446,4467,6110,2621,6184,11357,6718,11298,10811,12112,9102,6031,4872,8303,5466,6640,5457,5384,9617,4730,6791,7498,8117,6492,4722,6406,3362,3426,6920,5797,6867,10893,11239,10877
Canada,"Livers, roes, milt, dried, salted or in brine, nei",Exports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,2678,728,1503,715,2135,3394,1003,800,2101,988,1257,683,540,1641,401,2114,1596,1609,405,3541,2039,3284,1353,766,1337,499,540,462,1273
Canada,"Livers, roes, milt, dried, salted or in brine, nei",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Canada,"Livers, roes, milt, dried, salted or in brine, nei",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,385,206,64,250,147,310,509,444,148,301,625,859,841,845,1035,371,405,164,321,402,680,1057,819,775,657,1094,1023,722,731
Canada,"Livers, roes, milt, dried, salted or in brine, nei",Reexports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Livers, roes, milt, fresh or chilled, nei",Exports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31,-
Canada,"Livers, roes, milt, fresh or chilled, nei",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7566,20157,24790,30131,18601,18881,12693,16632,20835,19496,28960,19594,27148,23658,18530,22124,31773,33998,35017,39537,27719,21099,18068,21814
Canada,"Livers, roes, milt, fresh or chilled, nei",Reexports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"Livers, roes, milt, frozen",Exports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,866,589,486,644,311,488,561,1064,705,1051,1012,927,299,300,494,649,409,799,1107,855,866,950,942,781
Canada,"Livers, roes, milt, frozen",Imports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,752,958,929,842,462,338,214,333,101,102,375,96,145,196,243,388,240,365,145,287,442,640,445,537
Canada,"Livers, roes, milt, frozen",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,6242,6603,6520,7194,116,225,169,188,322,646,1038,1427,858,700,699,588,667,817,851,1466,973,726,304,806,1583,1807,833,10
Canada,"Livers, roes, milt, frozen",Reexports,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,74,38,17,11,92,391,103,133,668,1621,1414,2734,2857,3002,3169,3687,3479,4077,5185,7219,6981,6412,6732,6264
Canada,"Pacific herring, frozen",Production,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1264,1132,1158,980,656,355,180,95,103,212,210,28,46,28,132,107,107,17,21,55,85,42,108,63